Population              mean_N    mean_k    mean_He    p_sign_TPM    p_stdv_TPM    p_W_1t_TPM    p_W_2t_TPM
137723_South_Shetlands     390.67      9.69    0.72960      0.004709      0.000394      0.000125      0.000250
Y/B144/45               1372.92      9.87    0.72344      0.001043      0.000016      0.000024      0.000047
BI8_Bouvetoya           785.90      9.54    0.70996      0.003606      0.000690      0.000030      0.000059
MIAGM13144_Marion_island     329.85      9.46    0.72422      0.004617      0.000664      0.000117      0.000234
CI5_Crozet               35.28      6.62    0.71824      0.000087      0.000275      0.000004      0.000008
KI816_Kergulen           99.23      6.97    0.68959      0.022706      0.004592      0.001121      0.002242
HI9_Heard                43.38      6.33    0.68262      0.389751      0.126227      0.073074      0.146148
MI2270_Macquarie        216.97      8.05    0.69005      0.094370      0.026974      0.016718      0.033436
