Population              mean_N    mean_k    mean_He    p_sign_TPM    p_stdv_TPM    p_W_1t_TPM    p_W_2t_TPM
137723_South_Shetlands     390.67      9.69    0.72960      0.004393      0.000332      0.000117      0.000234
Y/B144/45               1372.92      9.87    0.72344      0.001056      0.000021      0.000034      0.000068
BI8_Bouvetoya           785.90      9.54    0.70996      0.003774      0.000661      0.000027      0.000055
MIAGM13144_Marion_island     329.85      9.46    0.72422      0.004499      0.000696      0.000125      0.000250
CI5_Crozet               35.28      6.62    0.71824      0.000082      0.000320      0.000005      0.000010
KI816_Kergulen           99.23      6.97    0.68959      0.024220      0.006136      0.001308      0.002615
HI9_Heard                43.38      6.33    0.68262      0.391939      0.129139      0.065537      0.131075
MI2270_Macquarie        216.97      8.05    0.69005      0.089025      0.023346      0.014440      0.028879
