pop stat values
BI prop_het.ex 0.6923076923076923
BI prop_het.ex 0.6410256410256411
BI prop_het.ex 0.717948717948718
BI prop_het.ex 0.5897435897435898
BI prop_het.ex 0.717948717948718
BI prop_het.ex 0.5897435897435898
BI prop_het.ex 0.6153846153846154
BI prop_het.ex 0.6666666666666666
BI prop_het.ex 0.6410256410256411
BI prop_het.ex 0.717948717948718
BI prop_het.ex 0.6666666666666666
BI prop_het.ex 0.6153846153846154
BI prop_het.ex 0.7948717948717948
BI prop_het.ex 0.6666666666666666
BI prop_het.ex 0.6666666666666666
BI prop_het.ex 0.717948717948718
BI prop_het.ex 0.717948717948718
BI prop_het.ex 0.717948717948718
BI prop_het.ex 0.717948717948718
BI prop_het.ex 0.6666666666666666
BI prop_het.ex 0.6923076923076923
BI prop_het.ex 0.5897435897435898
BI prop_het.ex 0.717948717948718
BI prop_het.ex 0.7435897435897436
BI prop_het.ex 0.6410256410256411
BI prop_het.ex 0.6410256410256411
BI prop_het.ex 0.6666666666666666
BI prop_het.ex 0.6923076923076923
BI prop_het.ex 0.717948717948718
BI prop_het.ex 0.6153846153846154
BI prop_het.ex 0.717948717948718
BI prop_het.ex 0.5384615384615384
BI prop_het.ex 0.6153846153846154
BI prop_het.ex 0.7692307692307693
BI prop_het.ex 0.6410256410256411
BI prop_het.ex 0.717948717948718
BI prop_het.ex 0.5897435897435898
BI prop_het.ex 0.5641025641025641
BI prop_het.ex 0.6666666666666666
BI prop_het.ex 0.6410256410256411
BI prop_het.ex 0.6923076923076923
BI prop_het.ex 0.6923076923076923
BI prop_het.ex 0.717948717948718
BI prop_het.ex 0.5641025641025641
BI prop_het.ex 0.717948717948718
BI prop_het.ex 0.48717948717948717
BI prop_het.ex 0.6666666666666666
BI prop_het.ex 0.6666666666666666
BI prop_het.ex 0.5897435897435898
BI prop_het.ex 0.717948717948718
BI prop_het.ex 0.6410256410256411
BI prop_het.ex 0.6410256410256411
BI prop_het.ex 0.6410256410256411
BI prop_het.ex 0.6153846153846154
BI prop_het.ex 0.6666666666666666
BI prop_het.ex 0.6666666666666666
BI prop_het.ex 0.6666666666666666
BI prop_het.ex 0.6666666666666666
BI prop_het.ex 0.5384615384615384
BI prop_het.ex 0.7692307692307693
BI prop_het.ex 0.6923076923076923
BI prop_het.ex 0.7692307692307693
BI prop_het.ex 0.6666666666666666
BI prop_het.ex 0.6153846153846154
BI prop_het.ex 0.6410256410256411
BI prop_het.ex 0.5897435897435898
BI prop_het.ex 0.6153846153846154
BI prop_het.ex 0.6923076923076923
BI prop_het.ex 0.6923076923076923
BI prop_het.ex 0.6666666666666666
BI prop_het.ex 0.6153846153846154
BI prop_het.ex 0.6410256410256411
BI prop_het.ex 0.6923076923076923
BI prop_het.ex 0.717948717948718
BI prop_het.ex 0.6923076923076923
BI prop_het.ex 0.6666666666666666
BI prop_het.ex 0.5641025641025641
BI prop_het.ex 0.6923076923076923
BI prop_het.ex 0.7435897435897436
BI prop_het.ex 0.7435897435897436
