Population              mean_N    mean_k    mean_He    p_sign_TPM    p_stdv_TPM    p_W_1t_TPM    p_W_2t_TPM
137723_South_Shetlands     390.67      9.69    0.72960      0.004525      0.000324      0.000125      0.000250
Y/B144/45               1372.92      9.87    0.72344      0.001084      0.000020      0.000024      0.000047
BI8_Bouvetoya           785.90      9.54    0.70996      0.003979      0.000631      0.000030      0.000059
MIAGM13144_Marion_island     329.85      9.46    0.72422      0.004874      0.000708      0.000110      0.000219
CI5_Crozet               35.28      6.62    0.71824      0.000079      0.000346      0.000005      0.000010
KI816_Kergulen           99.23      6.97    0.68959      0.046278      0.004291      0.000959      0.001917
HI9_Heard                43.38      6.33    0.68262      0.275510      0.114826      0.058604      0.117209
MI2270_Macquarie        216.97      8.05    0.69005      0.099065      0.028979      0.016718      0.033436
