num_alleles_mean num_alleles_sd exp_het_mean exp_het_sd obs_het_mean obs_het_sd mean_allele_size_sd sd_allele_size_sd mean_allele_size_kurtosis sd_allele_size_kurtosis mean_allele_range sd_allele_range mratio_mean mratio_sd prop_low_afs_mean prop_low_afs_sd pop
1 6.28205128205128 2.5334469752194 0.735452885607684 0.210340775583755 0.724216524216524 0.228832557010503 2.85704930712826 1.80298295529815 3.3151599036553 1.82079400662219 9.87179487179487 7.11625081352714 0.699924777888579 0.222189982753891 0.236192511192511 0.199301396948912 SSI
2 6.23076923076923 2.61031898092671 0.717355102184824 0.214600704204927 0.701424501424501 0.247261538199477 2.54343841238342 1.49688074924291 3.87352773785673 2.74738139104689 9.46153846153846 6.24013391323141 0.708124197739582 0.241100277500105 0.278440078440078 0.228609774482215 SSI
3 6.43589743589744 2.72217861468648 0.740350877192982 0.208338120176333 0.740384615384615 0.214415928240886 2.77191233506195 1.69071304502854 4.07800166578048 2.88519050933913 10.2307692307692 6.40502080386752 0.662199047391355 0.215735736268902 0.295533170533171 0.20475546328965 SSI
4 6.38461538461539 2.87104771464305 0.731772997098075 0.21253791343967 0.748717948717949 0.24373388731824 2.64507838723714 1.53699850050875 3.67041230013369 2.95277275822381 9.33333333333333 6.0928488424992 0.720726374764836 0.223999046180497 0.277268102268102 0.193790010922305 SSI
5 6.07692307692308 2.37735606553755 0.73319661647835 0.190910838743498 0.733048433048433 0.201512912880903 2.60717177316457 1.53518234841148 4.25983185319078 3.9662435952161 9.64102564102564 6.62724511903297 0.684311511285196 0.234067297882497 0.297237022237022 0.197762124232302 SSI
6 6.30769230769231 2.79241308731399 0.739294849743766 0.205092036512427 0.75519943019943 0.222218731229139 2.79821830123847 1.74918770171838 3.66252650903784 3.48187765766501 9.51282051282051 6.10811278836251 0.695359718628949 0.231312826949961 0.228552003552004 0.217714377048132 SSI
7 6.25641025641026 2.67264848652486 0.720600142891165 0.214098764723201 0.707122507122507 0.241925984141918 2.7494942289713 1.70570576540942 4.17222920642619 2.90499398933058 10.1025641025641 6.90078131272437 0.660685767359976 0.221713678864027 0.298000148000148 0.18025242401309 SSI
8 5.97435897435897 2.51821970831086 0.705581355349157 0.241812799698761 0.715883190883191 0.266425137876917 2.46850264161014 1.52888267387399 4.30754209536483 4.48151991934012 8.74358974358974 6.33585431749528 0.72192247480709 0.215705695899783 0.302956302956303 0.212967961107733 SSI
9 6.17948717948718 2.77082350357961 0.731801222513297 0.226685236715642 0.70997150997151 0.263169007279408 2.7391439972247 1.6230412989882 3.72530151480269 3.5992319851416 9.23076923076923 6.01953634541442 0.706074971108416 0.223793244915751 0.24512617012617 0.19897417651717 SSI
10 6.12820512820513 2.56678671924223 0.727268397237438 0.20470645524792 0.718803418803419 0.229361260230029 2.68013252351519 1.68829076887342 4.65276940003642 3.91532584938929 9.92307692307692 6.97508579605643 0.671905969982893 0.22657797606941 0.289293114293114 0.21124636136776 SSI
11 5.94871794871795 2.38359213603862 0.711550369135508 0.23308423757338 0.706837606837607 0.251617449773737 2.47507543133829 1.57896466691074 4.48553575216483 4.16930030623432 8.33333333333333 5.027991821233 0.708589142900884 0.196881856584239 0.282702482702483 0.203832162346077 SSI
12 6.41025641025641 2.90840839742424 0.725788327026717 0.241227729577366 0.716809116809117 0.284067639160817 2.72654135615183 1.77716193582344 3.55764128514486 2.92684010179547 9.3421052631579 5.63903535832185 0.725915006046585 0.222191279884769 0.256033781033781 0.184109635240472 SSI
13 6.30769230769231 2.64728108934278 0.751005971439408 0.192897898769782 0.727920227920228 0.220621011909231 2.70872722441502 1.6169344396143 3.63468582431276 3.05192223702034 9.58974358974359 6.72277334970256 0.698899026783642 0.231595793391202 0.232568357568358 0.194946948392055 SSI
14 6.38461538461539 2.66177013337271 0.741550583346249 0.197681103724705 0.753601953601954 0.234668874765629 2.67379415907286 1.54843530433192 3.55141476741402 2.62816490947774 9.58974358974359 5.86568050845428 0.689238157034061 0.216684519982599 0.260780885780886 0.213780048859631 SSI
15 6.1025641025641 2.60358934221355 0.717691161034814 0.205148263365266 0.68974358974359 0.238611761130099 2.72046251147122 1.70647947901735 4.36207185293503 3.87146626866183 10.1282051282051 7.32759559609924 0.667083574576943 0.232897487551259 0.296217671217671 0.236907070781756 SSI
16 6.05128205128205 2.5334469752194 0.717842872641634 0.230984178129423 0.698575498575499 0.237284555503658 2.6750977638511 1.67699835965759 4.09797740257301 3.51938567389736 9.6578947368421 5.71047551288111 0.663564711937288 0.228509760545596 0.277629777629778 0.228372551592708 SSI
17 6.28205128205128 2.6650636207348 0.724579044393286 0.209803357823317 0.722507122507122 0.225148671977194 2.7570313341781 1.93592403993461 3.48406882414156 2.68502620901528 9.46153846153846 6.98813337717348 0.721205606690246 0.233728984578059 0.315628815628816 0.230687923575927 SSI
18 6.07692307692308 2.50667126079919 0.72243391283639 0.216875623292588 0.711111111111111 0.225833234428814 2.70715116097933 1.70995039366077 4.13748987354841 3.2922806012414 9.82051282051282 6.35722462976198 0.668475669629516 0.245726660411375 0.263211788211788 0.178875727268702 SSI
19 6.23076923076923 2.6304045962705 0.734938653824103 0.208669703258267 0.703133903133903 0.244058024156065 2.55169765685345 1.45979188809164 4.06246928405306 3.81270043533775 9.07692307692308 5.45017921185125 0.697406308641126 0.203822328318113 0.26451418951419 0.198586230847282 SSI
