Population              mean_N    mean_k    mean_He    p_sign_TPM    p_stdv_TPM    p_W_1t_TPM    p_W_2t_TPM
137714_South_Shetlands      19.90      6.26    0.75517      0.123272      0.038604      0.012907      0.025814
W6552                    19.90      6.05    0.73174      0.430912      0.152214      0.043731      0.087463
BI12_Bouvetoya           19.74      5.54    0.68360      0.495041      0.449730      0.398188      0.796376
MIAGM13135_Marion_island      19.90      5.95    0.71221      0.084356      0.110582      0.027459      0.054917
CI5_Crozet               19.49      5.64    0.70638      0.014505      0.056688      0.006575      0.013149
KI810_Kergulen           19.23      5.23    0.70295      0.038933      0.043209      0.002468      0.004935
HI4_Heard                19.54      5.31    0.69114      0.057107      0.073627      0.006575      0.013149
MI2258_Macquarie         19.95      5.18    0.67323      0.310313      0.191242      0.092369      0.184738
Population              mean_N    mean_k    mean_He    p_sign_TPM    p_stdv_TPM    p_W_1t_TPM    p_W_2t_TPM
137721_South_Shetlands      19.69      6.31    0.73527      0.560140      0.388543      0.273949      0.547898
W9171_mum                19.85      5.90    0.72267      0.061059      0.058727      0.010658      0.021316
BI5_Bouvetoya            19.85      5.82    0.71331      0.264367      0.081964      0.008074      0.016147
MIAGM13142_Marion_island      19.95      6.08    0.73136      0.312120      0.097787      0.013913      0.027825
CI40_Crozet              19.74      5.79    0.70765      0.403785      0.133927      0.056962      0.113925
KI794_Kergulen           19.38      5.03    0.66663      0.430458      0.210460      0.124297      0.248595
HI9_Heard                19.85      5.13    0.65823      0.360629      0.340739      0.491745      0.983491
MI2251_Macquarie         19.90      5.10    0.68397      0.405945      0.362715      0.167989      0.335977
Population              mean_N    mean_k    mean_He    p_sign_TPM    p_stdv_TPM    p_W_1t_TPM    p_W_2t_TPM
137703_South_Shetlands      19.28      6.36    0.74951      0.128595      0.116389      0.037504      0.075008
W6754                    19.90      5.97    0.72202      0.282647      0.120917      0.060283      0.120565
BI17_Bouvetoya           19.95      6.00    0.71376      0.214341      0.183467      0.144607      0.289213
MIAGM13138_Marion_island      19.74      6.13    0.71862      0.398573      0.336238      0.206378      0.412756
CI5_Crozet               19.59      5.97    0.71451      0.014588      0.055998      0.014221      0.028441
KI807_Kergulen           19.13      4.97    0.68720      0.109984      0.069526      0.032005      0.064009
HI9_Heard                19.64      5.00    0.68233      0.177469      0.124489      0.071132      0.142264
MI2251_Macquarie         19.90      5.64    0.68693      0.566880      0.170087      0.398188      0.796376
Population              mean_N    mean_k    mean_He    p_sign_TPM    p_stdv_TPM    p_W_1t_TPM    p_W_2t_TPM
137712_South_Shetlands      19.59      6.08    0.72719      0.438950      0.198299      0.065537      0.131075
W9168_pup                19.79      5.95    0.71983      0.116499      0.191011      0.085567      0.171134
BI8_Bouvetoya            19.74      5.85    0.71932      0.236870      0.055934      0.023043      0.046087
MIAGM13139_Marion_island      20.00      6.26    0.73131      0.300630      0.167357      0.075056      0.150111
CI5_Crozet               19.44      5.79    0.71598      0.015206      0.058791      0.013913      0.027825
KI816_Kergulen           19.74      5.33    0.69490      0.182404      0.151443      0.065537      0.131075
HI5_Heard                19.79      5.08    0.67489      0.417557      0.210746      0.209250      0.418500
MI2260_Macquarie         19.90      5.26    0.68030      0.053090      0.039441      0.006643      0.013285
Population              mean_N    mean_k    mean_He    p_sign_TPM    p_stdv_TPM    p_W_1t_TPM    p_W_2t_TPM
137660_South_Shetlands      19.95      6.28    0.73382      0.540467      0.489387      0.316915      0.633830
W6511/11_pup             19.64      6.10    0.71912      0.287456      0.100883      0.012162      0.024323
A1065_Bouvetoya          20.00      5.69    0.71269      0.041476      0.007656      0.002235      0.004470
MIAGM13130_Marion_island      19.90      6.08    0.73198      0.055325      0.156408      0.008406      0.016812
CI40_Crozet              19.59      5.97    0.72665      0.001811      0.005626      0.000114      0.000229
KI810_Kergulen           19.38      5.46    0.70471      0.048832      0.063072      0.006853      0.013707
HI7_Heard                19.64      5.33    0.68402      0.329484      0.226264      0.611368      0.787868
MI2256_Macquarie         19.85      5.46    0.67830      0.260854      0.322339      0.511434      0.988565
