loci	ind	k	runs	elpdmean	elpdsd	elpdmin	elpdmax	lnk1	lnk1max	lnk1min	lnk2	lnk2max	lnk2min	deltaK	drv1	drv1max	drv1min	drv2	drv2max	drv2min	drv3
39	2000	1	10	-265669.04	0.142984070599743	-265669.2	-265668.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
39	2000	2	10	-260117.51	5.78108986265063	-260126.7	-260110	5551.52999999997	5557.16810579202	5545.89189420792	1885.65999999997	2529.08021841732	1242.23978158263	326.177251141258	5551.52999999997	5557.16810579202	5545.89189420792	1885.65999999997	2529.08021841732	1242.23978158263	326.177251141258
39	2000	3	10	-256451.64	654.839414072043	-258315.3	-256238.6	3665.87	4314.92832420939	3016.8116757906	1710.42999999999	1711.91199435053	1708.94800564945	2.61198388985764	3665.87	4314.92832420939	3016.8116757906	1710.42999999999	1711.91199435053	1708.94800564945	2.61198388985764
39	2000	4	10	-254496.2	4.29909551210922	-254503.4	-254488.5	1955.44	2605.98031855994	1304.89968144007	1611.03	2259.44144566999	962.618554330004	374.736963964217	1955.44	2605.98031855994	1304.89968144007	1611.03	2259.44144566999	962.618554330004	374.736963964217
39	2000	5	10	-254151.79	6.42796840204833	-254163	-254141.6	344.410000000003	346.538872889943	342.281127110064	271.529999999999	278.222089453765	264.837910546232	42.2419624703621	344.410000000003	346.538872889943	342.281127110064	271.529999999999	278.222089453765	264.837910546232	42.2419624703621
39	2000	6	10	-254078.91	15.2489307457539	-254102.4	-254058.6	72.8800000000047	81.7009623437102	64.0590376562991	3.22000000000116	28.3315905536048	-21.8915905536025	0.211162346638487	72.8800000000047	81.7009623437102	64.0590376562991	3.22000000000116	28.3315905536048	-21.8915905536025	0.211162346638487
39	2000	7	10	-254009.25	49.1814836430631	-254054.3	-253881.7	69.6600000000035	103.592552897313	35.7274471026943	61.820000000007	88.5305716107933	35.1094283892207	1.2569771267713	69.6600000000035	103.592552897313	35.7274471026943	61.820000000007	88.5305716107933	35.1094283892207	1.2569771267713
39	2000	8	10	-253877.77	109.824608151159	-253997.6	-253730.9	131.48000000001	192.123124508106	70.8368754919149	278.600000000006	314.598484212715	242.601515787297	2.53677208314325	131.48000000001	192.123124508106	70.8368754919149	278.600000000006	314.598484212715	242.601515787297	2.53677208314325
39	2000	9	10	-254024.89	134.469248446545	-254121.5	-253655.3	-147.119999999995	-122.475359704609	-171.764640295382	183.809999999969	291.355977838	76.2640221619369	1.36692962981077	-147.119999999995	-122.475359704609	-171.764640295382	183.809999999969	291.355977838	76.2640221619369	1.36692962981077
39	2000	10	10	-253988.2	266.659866579963	-254348.9	-253679.2	36.6899999999732	168.880618133391	-95.5006181334449	NA	NA	NA	NA	36.6899999999732	168.880618133391	-95.5006181334449	NA	NA	NA	NA
