sampleID	cluster1	cluster2
53_Willis	0.001	0.999
55_Willis	0.001	0.999
57_Willis	0.001	0.999
58_Willis	0.001	0.999
59_Willis	0.001	0.999
6_Husvik	0.001	0.999
60_Willis	0.002	0.998
61_Willis	0.002	0.998
62_Willis	0.001	0.999
63_Willis	0.001	0.999
64_Willis	0.001	0.999
65_Willis	0.001	0.999
66_Willis	0.001	0.999
7_Husvik	0.001	0.999
AGP00025	0.001	0.999
AGP00132	0.001	0.999
AGP01083	0.001	0.999
AGP01096	0.002	0.998
AGP02025	0.001	0.999
AGP02029	0.001	0.999
AGP03027	0.001	0.999
AGP03041	0.001	0.999
AGP03057	0.001	0.999
AGP03060	0.001	0.999
AGP04013	0.0011	0.9989
AGP04020	0.001	0.999
AGP04022	0.001	0.999
AGP04026	0.001	0.999
AGP04027	0.001	0.999
AGP04029	0.002	0.998
AGP04030	0.001	0.999
AGP04031	0.001	0.999
AGP04037	0.002	0.998
AGP04038	0.001	0.999
AGP04039	0.001	0.999
AGP04041	0.001	0.999
AGP04050	0.001	0.999
AGP04053	0.001	0.999
AGP04056	0.001	0.999
AGP04057	0.001	0.999
AGP04058	0.001	0.999
AGP04066	0.001	0.999
AGP04067	0.001	0.999
AGP04073	0.001	0.999
AGP04074	0.001	0.999
AGP04079	0.001	0.999
AGP04080	0.001	0.999
AGP04083	0.002	0.998
AGP04098	0.001	0.999
AGP04101	0.001	0.999
AGP04102	0.001	0.999
AGP04107	0.001	0.999
AGP04108	0.001	0.999
AGP04109	0.002	0.998
AGP04112	0.001	0.999
AGP04114	0.001	0.999
AGP04117	0.001	0.999
AGP04130	0.0028	0.9972
AGP04131	0.001	0.999
AGP04137	0.001	0.999
AGP04138	0.0015	0.9985
AGP04139	0.003	0.997
AGP04142	0.001	0.999
AGP04145	0.001	0.999
AGP04147	0.001	0.999
AGP04150	0.001	0.999
AGP04153	0.001	0.999
AGP04154	0.001	0.999
AGP04158	0.001	0.999
AGP04159	0.001	0.999
AGP04160	0.001	0.999
AGP04161	0.001	0.999
AGP04162	0.001	0.999
AGP04165	0.001	0.999
AGP04166	0.001	0.999
AGP04168	0.001	0.999
AGP04176	0.001	0.999
AGP04179	0.0188	0.9812
AGP04184	0.001	0.999
AGP04188	0.001	0.999
AGP04193	0.001	0.999
AGP04195	0.001	0.999
AGP04196	0.001	0.999
AGP04198	0.002	0.998
AGP04200	0.001	0.999
AGP04201	0.001	0.999
AGP04202	0.001	0.999
AGP04211	0.001	0.999
AGP04216	0.001	0.999
AGP04217	0.001	0.999
AGP04219	0.001	0.999
AGP04223	0.001	0.999
AGP04226	0.001	0.999
AGP04228	0.001	0.999
AGP04232	0.001	0.999
AGP04234	0.001	0.999
AGP04235	0.002	0.998
AGP04237	0.001	0.999
AGP04240	0.001	0.999
AGP04241	0.001	0.999
AGP04242	0.006	0.994
AGP04243	0.001	0.999
AGP04246	0.001	0.999
AGP04248	0.001	0.999
AGP04250	0.001	0.999
AGP04251	0.001	0.999
AGP04256	0.001	0.999
AGP04258	0.001	0.999
AGP04260	0.001	0.999
AGP04261	0.001	0.999
AGP04264	0.001	0.999
AGP04266	0.002	0.998
AGP04267	0.001	0.999
AGP04269	0.001	0.999
AGP04270	0.002	0.998
AGP04271	0.001	0.999
AGP04272	0.001	0.999
AGP04273	0.001	0.999
AGP04274	0.001	0.999
AGP04275	0.001	0.999
AGP04278	0.001	0.999
AGP04281	0.003	0.997
AGP04282	0.002	0.998
AGP04283	0.001	0.999
AGP04284	0.001	0.999
AGP04286	0.002	0.998
AGP04287	0.002	0.998
AGP04290	0.001	0.999
AGP04291	0.001	0.999
AGP04293	0.001	0.999
AGP04294	0.001	0.999
AGP04296	0.001	0.999
AGP04297	0.001	0.999
AGP04298	0.001	0.999
AGP04299	0.001	0.999
AGP05002	0.002	0.998
AGP05003	0.001	0.999
AGP05005	0.001	0.999
AGP05006	0.001	0.999
AGP05007	0.001	0.999
AGP05008	0.001	0.999
AGP05009	0.001	0.999
AGP05010	0.002	0.998
AGP05011	0.001	0.999
AGP05012	0.001	0.999
AGP05013	0.002	0.998
AGP05014	0.001	0.999
AGP05015	0.001	0.999
AGP05016	0.001	0.999
AGP05017	0.001	0.999
AGP05018	0.001	0.999
AGP05019	0.001	0.999
AGP05020	0.003	0.997
AGP05021	0.001	0.999
AGP05022	0.001	0.999
AGP05023	0.002	0.998
AGP05024	0.001	0.999
AGP05025	0.001	0.999
AGP05026	0.001	0.999
AGP05027	0.001	0.999
AGP05028	0.002	0.998
AGP05030	0.001	0.999
AGP05032	0.001	0.999
AGP05036	0.002	0.998
AGP05037	0.0019	0.9981
AGP05038	0.001	0.999
AGP05039	0.001	0.999
AGP05041	0.001	0.999
AGP05042	0.001	0.999
AGP05045	0.002	0.998
AGP05046	0.001	0.999
AGP05047	0.001	0.999
AGP05052	0.001	0.999
AGP05053	0.002	0.998
AGP05054	0.001	0.999
AGP05058	0.001	0.999
AGP05063	0.001	0.999
AGP05065	0.001	0.999
AGP05070	0.001	0.999
AGP05073	0.002	0.998
AGP05074	0.001	0.999
AGP05080	0.001	0.999
AGP05088	0.001	0.999
AGP05090	0.001	0.999
AGP05111	0.001	0.999
AGP05113	0.001	0.999
AGP05114	0.001	0.999
AGP05117	0.002	0.998
AGP05124	0.002	0.998
AGP05125	0.001	0.999
AGP05126	0.001	0.999
AGP05127	0.001	0.999
AGP05128	0.001	0.999
AGP05129	0.001	0.999
AGP05132	0.001	0.999
AGP05133	0.002	0.998
AGP05134	0.001	0.999
AGP05135	0.001	0.999
AGP05143	0.002	0.998
AGP05144	0.001	0.999
AGP05145	0.001	0.999
AGP05146	0.001	0.999
AGP05150	0.001	0.999
AGP05151	0.003	0.997
AGP05152	0.001	0.999
AGP05153	0.001	0.999
AGP05154	0.001	0.999
AGP05155	0.002	0.998
AGP05158	0.001	0.999
AGP05159	0.001	0.999
AGP05160	0.001	0.999
AGP05165	0.001	0.999
AGP05167	0.001	0.999
AGP05169	0.001	0.999
AGP05171	0.001	0.999
AGP05173	0.001	0.999
AGP05174	0.001	0.999
AGP05177	0.001	0.999
AGP05178	0.002	0.998
AGP05179	0.001	0.999
AGP05180	0.0012	0.9988
AGP05181	0.001	0.999
AGP05183	0.004	0.996
AGP05187	0.001	0.999
AGP05188	0.001	0.999
AGP05189	0.001	0.999
AGP05191	0.001	0.999
AGP05192	0.001	0.999
AGP05193	0.003	0.997
AGP05194	0.001	0.999
AGP05195	0.001	0.999
AGP05197	0.001	0.999
AGP05198	0.0011	0.9989
AGP05200	0.001	0.999
AGP05201	0.0019	0.9981
AGP05203	0.001	0.999
AGP05205	0.0015	0.9985
AGP05206	0.001	0.999
AGP05208	0.001	0.999
AGP05209	0.001	0.999
AGP05212	0.001	0.999
AGP05213	0.001	0.999
AGP05214	0.001	0.999
AGP05215	0.0019	0.9981
AGP05216	0.001	0.999
AGP05217	0.001	0.999
AGP05218	0.001	0.999
AGP05219	0.001	0.999
AGP05220	0.001	0.999
AGP05221	0.001	0.999
AGP05222	0.001	0.999
AGP05225	0.002	0.998
AGP05226	0.001	0.999
AGP05227	0.001	0.999
AGP05228	0.001	0.999
AGP05230	0.001	0.999
AGP05231	0.001	0.999
AGP05232	0.001	0.999
AGP05233	0.002	0.998
AGP05235	0.001	0.999
AGP05236	0.001	0.999
AGP05237	0.001	0.999
AGP05238	0.001	0.999
AGP05239	0.001	0.999
AGP05240	0.001	0.999
AGP05241	0.001	0.999
AGP05242	0.003	0.997
AGP05279	0.001	0.999
AGP05280	0.001	0.999
AGP05282	0.001	0.999
AGP05286	0.002	0.998
AGP05287	0.002	0.998
AGP05288	0.002	0.998
AGP05289	0.001	0.999
AGP05291	0.001	0.999
AGP05293	0.001	0.999
AGP05297	0.001	0.999
AGP05298	0.001	0.999
AGP05299	0.001	0.999
AGP05300	0.001	0.999
AGP05301	0.001	0.999
AGP05312	0.001	0.999
AGP05320	0.0013	0.9987
AGP06003	0.001	0.999
AGP06030	0.001	0.999
AGP06054	0.001	0.999
AGP06082	0.001	0.999
AGP06118	0.001	0.999
AGP06136	0.001	0.999
AGP06197	0.001	0.999
AGP06369	0.001	0.999
AGP06451	0.001	0.999
AGP06471	0.002	0.998
AGP06475	0.001	0.999
AGP06484	0.001	0.999
AGP06498	0.001	0.999
AGP06506	0.001	0.999
AGP06519	0.001	0.999
AGP06530	0.001	0.999
AGP06554	0.001	0.999
AGP06561	0.002	0.998
AGP07001	0.001	0.999
AGP07002	0.001	0.999
AGP07003	0.001	0.999
AGP07005	0.001	0.999
AGP07006	0.001	0.999
AGP07009	0.002	0.998
AGP07011	0.002	0.998
AGP07013	0.001	0.999
AGP07014	0.001	0.999
AGP07018	0.001	0.999
AGP07020	0.001	0.999
AGP07021	0.001	0.999
AGP07022	0.001	0.999
AGP07023	0.001	0.999
AGP07029	0.001	0.999
AGP07034	0.001	0.999
AGP07049	0.002	0.998
AGP07057	0.002	0.998
AGP07144	0.001	0.999
AGP07216	0.001	0.999
AGP07238	0.001	0.999
AGP07295	0.001	0.999
AGP07315	0.001	0.999
AGP07330	0.001	0.999
AGP07331	0.001	0.999
AGP07350	0.001	0.999
AGP07366	0.0036	0.9964
AGP07374	0.001	0.999
AGP07401	0.001	0.999
AGP07406	0.001	0.999
AGP07419	0.001	0.999
AGP07432	0.001	0.999
AGP07443	0.001	0.999
AGP07455	0.001	0.999
AGP07458	0.001	0.999
AGP07461	0.001	0.999
AGP08001	0.001	0.999
AGP08002	0.001	0.999
AGP08003	0.001	0.999
AGP08004	0.001	0.999
AGP08005	0.002	0.998
AGP08006	0.0012	0.9988
AGP08007	0.001	0.999
AGP08008	0.003	0.997
AGP08009	0.001	0.999
AGP08010	0.009	0.991
AGP08011	0.004	0.996
AGP08012	0.003	0.997
AGP08013	0.004	0.996
AGP08014	0.001	0.999
AGP08015	0.001	0.999
AGP08016	0.001	0.999
AGP08017	0.001	0.999
AGP08021	0.001	0.999
AGP08022	0.007	0.993
AGP08023	0.001	0.999
AGP08025	0.0027	0.9973
AGP08026	0.001	0.999
AGP08027	0.003	0.997
AGP08028	0.001	0.999
AGP08029	0.0019	0.9981
AGP08031	0.003	0.997
AGP08032	0.001	0.999
AGP08033	0.003	0.997
AGP08034	0.001	0.999
AGP08035	0.0417	0.9583
AGP08036	0.001	0.999
AGP08038	0.001	0.999
AGP08040	0.001	0.999
AGP08041	0.001	0.999
AGP08042	0.001	0.999
AGP08045	0.001	0.999
AGP08048	0.001	0.999
AGP08050	0.001	0.999
AGP08054	0.004	0.996
AGP08056	0.001	0.999
AGP08057	0.0039	0.9961
AGP08058	0.001	0.999
AGP08059	0.001	0.999
AGP08066	0.001	0.999
AGP08072	0.002	0.998
AGP08081	0.001	0.999
AGP08082	0.001	0.999
AGP08084	0.001	0.999
AGP08085	0.001	0.999
AGP08086	0.001	0.999
AGP08087	0.001	0.999
AGP08088	0.001	0.999
AGP08091	0.001	0.999
AGP08094	0.001	0.999
AGP08095	0.002	0.998
AGP08097	0.001	0.999
AGP08098	0.001	0.999
AGP08099	0.001	0.999
AGP08101	0.001	0.999
AGP08102	0.001	0.999
AGP08103	0.001	0.999
AGP08105	0.005	0.995
AGP08106	0.001	0.999
AGP08107	0.001	0.999
AGP08109	0.003	0.997
AGP08113	0.002	0.998
AGP08114	0.001	0.999
AGP08115	0.001	0.999
AGP08116	0.0038	0.9962
AGP08117	0.001	0.999
AGP08118	0.001	0.999
AGP08119	0.001	0.999
AGP08122	0.001	0.999
AGP08125	0.001	0.999
AGP08131	0.001	0.999
AGP08132	0.001	0.999
AGP08136	0.001	0.999
AGP08137	0.003	0.997
AGP08145	0.001	0.999
AGP08146	0.006	0.994
AGP08147	0.001	0.999
AGP08148	0.001	0.999
AGP08151	0.001	0.999
AGP08152	0.001	0.999
AGP08153	0.001	0.999
AGP08154	0.001	0.999
AGP08155	0.003	0.997
AGP08156	0.002	0.998
AGP08157	0.001	0.999
AGP08158	0.005	0.995
AGP08159	0.006	0.994
AGP08160	0.001	0.999
AGP08162	0.001	0.999
AGP08163	0.001	0.999
AGP08165	0.001	0.999
AGP08166	0.001	0.999
AGP08167	0.002	0.998
AGP08170	0.001	0.999
AGP08171	0.001	0.999
AGP08172	0.001	0.999
AGP08173	0.001	0.999
AGP08174	0.001	0.999
AGP08175	0.001	0.999
AGP08176	0.0016	0.9984
AGP08177	0.001	0.999
AGP08178	0.001	0.999
AGP08180	0.001	0.999
AGP08184	0.001	0.999
AGP08190	0.001	0.999
AGP08191	0.001	0.999
AGP08192	0.001	0.999
AGP08195	0.001	0.999
AGP08198	0.001	0.999
AGP08199	0.001	0.999
AGP08202	0.001	0.999
AGP08203	0.001	0.999
AGP08204	0.001	0.999
AGP08206	0.0038	0.9962
AGP08207	0.001	0.999
AGP08210	0.008	0.992
AGP08211	0.001	0.999
AGP08214	0.0136	0.9864
AGP08218	0.001	0.999
AGP08220	0.001	0.999
AGP08222	0.001	0.999
AGP08224	0.002	0.998
AGP08225	0.007	0.993
AGP08226	0.001	0.999
AGP08227	0.001	0.999
AGP08228	0.001	0.999
AGP08229	0.001	0.999
AGP08231	0.005	0.995
AGP08232	0.001	0.999
AGP08233	0.001	0.999
AGP08234	0.001	0.999
AGP08236	0.001	0.999
AGP08248	0.001	0.999
AGP08253	0.001	0.999
AGP08258	0.001	0.999
AGP08274	0.001	0.999
AGP08284	0.001	0.999
AGP08286	0.001	0.999
AGP08305	0.001	0.999
AGP08318	0.001	0.999
AGP08328	0.001	0.999
AGP08334	0.001	0.999
AGP08336	0.002	0.998
AGP08342	0.001	0.999
AGP08470	0.001	0.999
AGP09001	0.001	0.999
AGP09002	0.001	0.999
AGP09004	0.001	0.999
AGP09010	0.001	0.999
AGP09015	0.001	0.999
AGP09018	0.001	0.999
AGP09024	0.001	0.999
AGP09026	0.001	0.999
AGP09031	0.001	0.999
AGP09032	0.001	0.999
AGP09035	0.001	0.999
AGP09039	0.001	0.999
AGP09041	0.003	0.997
AGP09042	0.002	0.998
AGP09043	0.002	0.998
AGP09044	0.002	0.998
AGP09045	0.001	0.999
AGP09048	0.001	0.999
AGP09050	0.001	0.999
AGP09054	0.001	0.999
AGP09055	0.001	0.999
AGP09057	0.001	0.999
AGP09062	0.001	0.999
AGP09063	0.001	0.999
AGP09079	0.0023	0.9977
AGP09096	0.001	0.999
AGP09101	0.001	0.999
AGP09105	0.001	0.999
AGP09107	0.001	0.999
AGP09110	0.001	0.999
AGP09115	0.001	0.999
AGP09126	0.001	0.999
AGP09176	0.002	0.998
AGP09193	0.001	0.999
AGP09199	0.001	0.999
AGP09206	0.001	0.999
AGP09207	0.004	0.996
AGP09214	0.002	0.998
AGP09225	0.001	0.999
AGP09226	0.001	0.999
AGP09235	0.001	0.999
AGP09246	0.002	0.998
AGP10001	0.002	0.998
AGP10002	0.001	0.999
AGP10005	0.001	0.999
AGP10009	0.001	0.999
AGP10017	0.002	0.998
AGP10018	0.001	0.999
AGP10019	0.001	0.999
AGP10023	0.001	0.999
AGP10024	0.002	0.998
AGP10025	0.001	0.999
AGP10031	0.001	0.999
AGP10036	0.001	0.999
AGP10038	0.001	0.999
AGP10041	0.001	0.999
AGP10043	0.001	0.999
AGP10046	0.001	0.999
AGP10047	0.001	0.999
AGP10050	0.001	0.999
AGP10051	0.001	0.999
AGP10053	0.001	0.999
AGP10055	0.001	0.999
AGP10061	0.001	0.999
AGP10065	0.001	0.999
AGP10067	0.001	0.999
AGP10068	0.001	0.999
AGP10076	0.001	0.999
AGP10078	0.001	0.999
AGP10084	0.001	0.999
AGP10086	0.001	0.999
AGP10093	0.001	0.999
AGP10094	0.001	0.999
AGP10096	0.001	0.999
AGP10097	0.001	0.999
AGP10098	0.003	0.997
AGP10101	0.001	0.999
AGP10103	0.001	0.999
AGP10104	0.0012	0.9988
AGP10105	0.001	0.999
AGP10106	0.001	0.999
AGP10107	0.002	0.998
AGP10108	0.001	0.999
AGP10109	0.001	0.999
AGP10110	0.001	0.999
AGP10111	0.002	0.998
AGP10113	0.001	0.999
AGP10114	0.001	0.999
AGP10116	0.001	0.999
AGP10129	0.001	0.999
AGP10130	0.001	0.999
AGP10131	0.001	0.999
AGP10136	0.001	0.999
AGP10143	0.001	0.999
AGP10148	0.001	0.999
AGP10152	0.001	0.999
AGP10154	0.001	0.999
AGP10156	0.001	0.999
AGP10158	0.001	0.999
AGP10163	0.001	0.999
