sampleID	cluster1	cluster2
AGP11214	0.001	0.999
AGP11215	0.002	0.998
AGP11217	0.001	0.999
AGP11218	0.001	0.999
AGP11219	0.001	0.999
AGP11220	0.005	0.995
AGP11221	0.001	0.999
AGP11223	0.001	0.999
AGP11225	0.002	0.998
AGP11227	0.001	0.999
AGP11228	0.001	0.999
AGP11229	0.001	0.999
AGP11230	0.001	0.999
AGP11231	0.001	0.999
AGP11234	0.001	0.999
AGP11235	0.001	0.999
AGP11236	0.001	0.999
AGP11238	0.002	0.998
AGP11240	0.0042	0.9958
AGP11241	0.001	0.999
AGP11242	0.0018	0.9982
AGP11246	0.001	0.999
AGP11279	0.001	0.999
AGP11283	0.001	0.999
AGP11284	0.001	0.999
AGP11285	0.001	0.999
AGP11286	0.005	0.995
AGP11287	0.001	0.999
AGP11288	0.001	0.999
AGP11289	0.002	0.998
AGP11290	0.001	0.999
AGP11291	0.002	0.998
AGP11292	0.002	0.998
AGP11293	0.001	0.999
AGP11294	0.003	0.997
AGP11295	0.001	0.999
AGP11296	0.001	0.999
AGP11297	0.001	0.999
AGP11298	0.001	0.999
AGP11299	0.002	0.998
AGP11300	0.001	0.999
AGP11301	0.001	0.999
AGP11302	0.001	0.999
AGP11303	0.002	0.998
AGP11304	0.005	0.995
AGP11306	0.001	0.999
AGP11387	0.001	0.999
AGP11400	0.001	0.999
AGP11404	0.001	0.999
AGP11417	0.001	0.999
AGP11420	0.003	0.997
AGP11446	0.001	0.999
AGP11447	0.002	0.998
AGP11453	0.002	0.998
AGP12030	0.001	0.999
AGP12065	0.001	0.999
AGP12120	0.001	0.999
AGP12141	0.001	0.999
AGP12253	0.001	0.999
AGP13134	0.001	0.999
AGP14028	0.002	0.998
AGP14050	0.001	0.999
AGP14067	0.003	0.997
AGP14080	0.001	0.999
AGP14096	0.001	0.999
AGP14124	0.001	0.999
AGP14146	0.001	0.999
AGP14148	0.001	0.999
AGP14153	0.001	0.999
AGP14170	0.001	0.999
AGP14171	0.002	0.998
AGP14179	0.002	0.998
AGP14180	0.001	0.999
AGP14200	0.001	0.999
AGP14201	0.001	0.999
AGP14207	0.001	0.999
AGP14229	0.001	0.999
AGP14234	0.001	0.999
AGP14237	0.001	0.999
AGP14295	0.001	0.999
AGP14301	0.001	0.999
AGP14306	0.001	0.999
AGP14308	0.002	0.998
AGP14313	0.001	0.999
AGP14317	0.001	0.999
AGP14323	0.001	0.999
AGP96002	0.002	0.998
AGP96008	0.003	0.997
AGP96018	0.001	0.999
AGP96020	0.001	0.999
AGP96033	0.001	0.999
AGP96036	0.001	0.999
AGP96070	0.001	0.999
AGP96081	0.001	0.999
ATP01	0.001	0.999
ATP02	0.001	0.999
ATP03	0.001	0.999
ATP04	0.001	0.999
ATP05	0.001	0.999
ATP06	0.002	0.998
ATP07	0.001	0.999
ATP08	0.001	0.999
ATP09	0.001	0.999
ATP10	0.001	0.999
ATP11	0.001	0.999
ATP12	0.001	0.999
ATP13	0.001	0.999
ATP14	0.001	0.999
ATP15	0.002	0.998
ATP16	0.004	0.996
ATP16001	0.0019	0.9981
ATP16002	0.001	0.999
ATP16003	0.001	0.999
ATP16004	0.001	0.999
ATP16005	0.001	0.999
ATP16006	0.001	0.999
ATP16007	0.001	0.999
ATP16008	0.0362	0.9638
ATP16009	0.001	0.999
ATP16010	0.0171	0.9829
ATP16011	0.001	0.999
ATP16012	0.001	0.999
ATP16013	0.003	0.997
ATP16015	0.002	0.998
ATP16016	0.001	0.999
ATP16017	0.001	0.999
ATP16018	0.001	0.999
ATP16019	0.001	0.999
ATP16020	0.004	0.996
ATP16021	0.001	0.999
ATP16023	0.001	0.999
ATP16024	0.001	0.999
ATP16025	0.003	0.997
ATP17	0.001	0.999
ATP18	0.001	0.999
ATP19	0.001	0.999
ATP20	0.001	0.999
ATP21	0.001	0.999
ATP23	0.001	0.999
ATP24	0.001	0.999
ATP25	0.001	0.999
ATP26	0.001	0.999
ATP27	0.002	0.998
ATP28	0.001	0.999
ATP29	0.002	0.998
ATP30	0.001	0.999
ATP31	0.001	0.999
ATP32	0.001	0.999
ATP33	0.001	0.999
ATP34	0.001	0.999
ATP35	0.001	0.999
ATP36	0.001	0.999
ATP37	0.001	0.999
ATP38	0.001	0.999
ATP39	0.001	0.999
ATP40	0.001	0.999
ATP41	0.001	0.999
ATP42	0.003	0.997
ATP43	0.001	0.999
ATP44	0.001	0.999
ATP45	0.001	0.999
ATP46	0.001	0.999
ATP47	0.001	0.999
ATP48	0.001	0.999
MRBM	0.002	0.998
SG1_South_G	0.004	0.996
SG10_South_	0.001	0.999
SG11_South_	0.002	0.998
SG12_South_	0.002	0.998
SG13_South_	0.001	0.999
SG14_South_	0.001	0.999
SG15_South_	0.001	0.999
SG16_South_	0.001	0.999
SG17_South_	0.001	0.999
SG18_South_	0.0011	0.9989
SG19_South_	0.001	0.999
SG2_South_G	0.002	0.998
SG20_South_	0.001	0.999
SG25_South_	0.001	0.999
SG26_South_	0.001	0.999
SG27_South_	0.001	0.999
SG28_South_	0.001	0.999
SG29_South_	0.001	0.999
SG3_South_G	0.002	0.998
SG4_South_G	0.001	0.999
SG5_South_G	0.001	0.999
SG6_South_G	0.001	0.999
SG7_South_G	0.001	0.999
SG8_South_G	0.001	0.999
SG9_South_G	0.001	0.999
TABBY	0.001	0.999
W01	0.001	0.999
W03	0.001	0.999
W04	0.002	0.998
W05	0.001	0.999
W06	0.0014	0.9986
W07	0.003	0.997
W08	0.001	0.999
W09	0.001	0.999
W1_Wilson_H	0.001	0.999
W10	0.001	0.999
W11	0.001	0.999
W12	0.001	0.999
W13	0.001	0.999
W14	0.002	0.998
W15	0.001	0.999
W16	0.001	0.999
W17	0.001	0.999
W2031/32_pu	0.001	0.999
W5309/10	0.001	0.999
W5509/10	0.001	0.999
W5690/91	0.003	0.997
W5737/38_FW	0.001	0.999
W6186/T3_pu	0.001	0.999
W6510/10_pu	0.003	0.997
W6511/11_pu	0.001	0.999
W6512/12_pu	0.001	0.999
W6513/13_pu	0.001	0.999
W6514/14_pu	0.001	0.999
W6515/15_pu	0.0011	0.9989
W6516/16_pu	0.001	0.999
W6517/17_pu	0.001	0.999
W6518/18_pu	0.001	0.999
W6519/19_pu	0.001	0.999
W6520/20_pu	0.004	0.996
W6521/21_pu	0.001	0.999
W6523/23_pu	0.001	0.999
W6524/24_pu	0.001	0.999
W6525/25_pu	0.001	0.999
W6526/26_pu	0.001	0.999
W6527/27_pu	0.001	0.999
W6528/28_pu	0.001	0.999
W6530/30_pu	0.001	0.999
W6531/31_pu	0.001	0.999
W6532/32_pu	0.001	0.999
W6536/36_FW	0.001	0.999
W6537/37_FW	0.001	0.999
W6538/38_FW	0.001	0.999
W6540/40_pu	0.001	0.999
W6541/41_pu	0.0058	0.9942
W6542/42_pu	0.002	0.998
W6558_pup	0.001	0.999
W6701_pup	0.002	0.998
W9132_pup	0.002	0.998
W9133_pup	0.001	0.999
W9134_pup	0.001	0.999
W9135_pup	0.001	0.999
W9136_pup	0.002	0.998
W9137_pup	0.002	0.998
W9138_pup	0.001	0.999
W9161_pup	0.001	0.999
W9162_pup	0.001	0.999
W9163_pup	0.001	0.999
W9164_pup	0.001	0.999
W9165_pup	0.001	0.999
W9166_pup	0.002	0.998
W9167_pup	0.001	0.999
W9168_pup	0.001	0.999
W9169_pup	0.001	0.999
W9170_pup	0.001	0.999
W9172_pup	0.001	0.999
W9173_pup	0.001	0.999
W9174_pup	0.001	0.999
W9175_pup	0.001	0.999
W9176_pup	0.001	0.999
W9177_pup	0.001	0.999
W9178_pup	0.001	0.999
1801_Bouvet	0.0031	0.9969
1802_Bouvet	0.1412	0.8588
1803_Bouvet	0.001	0.999
1804_Bouvet	0.001	0.999
1805_Bouvet	0.001	0.999
1806_Bouvet	0.001	0.999
1807_Bouvet	0.001	0.999
1808_Bouvet	0.002	0.998
1809_Bouvet	0.002	0.998
1810_Bouvet	0.001	0.999
1811_Bouvet	0.001	0.999
1812_Bouvet	0.001	0.999
1813_Bouvet	0.049	0.951
1814_Bouvet	0.001	0.999
1815_Bouvet	0.003	0.997
1816_Bouvet	0.001	0.999
1817_Bouvet	0.001	0.999
1818_Bouvet	0.002	0.998
1819_Bouvet	0.002	0.998
1820_Bouvet	0.001	0.999
1821_Bouvet	0.001	0.999
1822_Bouvet	0.001	0.999
1823_Bouvet	0.001	0.999
1824_Bouvet	0.002	0.998
1825_Bouvet	0.001	0.999
1826_Bouvet	0.003	0.997
1827_Bouvet	0.01	0.99
1828_Bouvet	0.005	0.995
1829_Bouvet	0.001	0.999
1830_Bouvet	0.001	0.999
1831_Bouvet	0.001	0.999
1832_Bouvet	0.001	0.999
1833_Bouvet	0.001	0.999
1834_Bouvet	0.003	0.997
1835_Bouvet	0.002	0.998
1836_Bouvet	0.001	0.999
1837_Bouvet	0.001	0.999
1838_Bouvet	0.001	0.999
1839_Bouvet	0.002	0.998
1840_Bouvet	0.002	0.998
1841_Bouvet	0.001	0.999
1842_Bouvet	0.001	0.999
1843_Bouvet	0.001	0.999
1844_Bouvet	0.001	0.999
1845_Bouvet	0.0019	0.9981
1846_Bouvet	0.001	0.999
1847_Bouvet	0.001	0.999
1848_Bouvet	0.001	0.999
1849_Bouvet	0.001	0.999
1850_Bouvet	0.002	0.998
1851_Bouvet	0.001	0.999
1852_Bouvet	0.003	0.997
1853_Bouvet	0.002	0.998
1854_Bouvet	0.002	0.998
1855_Bouvet	0.001	0.999
1856_Bouvet	0.001	0.999
1857_Bouvet	0.001	0.999
1858_Bouvet	0.001	0.999
1859_Bouvet	0.001	0.999
1860_Bouvet	0.001	0.999
1861_Bouvet	0.001	0.999
1862_Bouvet	0.001	0.999
1863_Bouvet	0.001	0.999
1864_Bouvet	0.001	0.999
1865_Bouvet	0.001	0.999
1866_Bouvet	0.001	0.999
1867_Bouvet	0.002	0.998
1868_Bouvet	0.001	0.999
1869_Bouvet	0.001	0.999
1870_Bouvet	0.001	0.999
1871_Bouvet	0.002	0.998
1872_Bouvet	0.001	0.999
1873_Bouvet	0.001	0.999
1874_Bouvet	0.002	0.998
1875_Bouvet	0.002	0.998
1876_Bouvet	0.003	0.997
1877_Bouvet	0.003	0.997
1878_Bouvet	0.001	0.999
1879_Bouvet	0.002	0.998
1880_Bouvet	0.001	0.999
1881_Bouvet	0.002	0.998
1882_Bouvet	0.002	0.998
1883_Bouvet	0.001	0.999
1884_Bouvet	0.002	0.998
1885_Bouvet	0.001	0.999
1886_Bouvet	0.001	0.999
1887_Bouvet	0.001	0.999
1888_Bouvet	0.001	0.999
1889_Bouvet	0.001	0.999
1890_Bouvet	0.002	0.998
1891_Bouvet	0.001	0.999
1892_Bouvet	0.001	0.999
1893_Bouvet	0.001	0.999
1894_Bouvet	0.001	0.999
1895_Bouvet	0.001	0.999
1896_Bouvet	0.001	0.999
1897_Bouvet	0.001	0.999
1898_Bouvet	0.001	0.999
1899_Bouvet	0.001	0.999
1900_Bouvet	0.001	0.999
2101_Bouvet	0.001	0.999
2102_Bouvet	0.001	0.999
2103_Bouvet	0.001	0.999
2104_Bouvet	0.002	0.998
2105_Bouvet	0.002	0.998
2106_Bouvet	0.001	0.999
2107_Bouvet	0.0017	0.9983
2108_Bouvet	0.0012	0.9988
2109_Bouvet	0.001	0.999
2110_Bouvet	0.002	0.998
2111_Bouvet	0.001	0.999
2112_Bouvet	0.001	0.999
2113_Bouvet	0.001	0.999
2114_Bouvet	0.001	0.999
2115_Bouvet	0.001	0.999
2116_Bouvet	0.001	0.999
2117_Bouvet	0.001	0.999
2118_Bouvet	0.001	0.999
2119_Bouvet	0.002	0.998
2120_Bouvet	0.003	0.997
2121_Bouvet	0.001	0.999
2122_Bouvet	0.001	0.999
2123_Bouvet	0.001	0.999
2124_Bouvet	0.001	0.999
2125_Bouvet	0.001	0.999
2126_Bouvet	0.001	0.999
2127_Bouvet	0.001	0.999
2128_Bouvet	0.001	0.999
2129_Bouvet	0.001	0.999
2130_Bouvet	0.001	0.999
2131_Bouvet	0.001	0.999
2132_Bouvet	0.001	0.999
2133_Bouvet	0.001	0.999
2134_Bouvet	0.002	0.998
2135_Bouvet	0.003	0.997
2136_Bouvet	0.001	0.999
2137_Bouvet	0.001	0.999
2138_Bouvet	0.001	0.999
2139_Bouvet	0.001	0.999
2140_Bouvet	0.001	0.999
2141_Bouvet	0.001	0.999
2142_Bouvet	0.001	0.999
2143_Bouvet	0.001	0.999
2144_Bouvet	0.001	0.999
2145_Bouvet	0.001	0.999
2146_Bouvet	0.001	0.999
2147_Bouvet	0.001	0.999
2148_Bouvet	0.001	0.999
2149_Bouvet	0.001	0.999
2150_Bouvet	0.001	0.999
2151_Bouvet	0.002	0.998
2152_Bouvet	0.001	0.999
2153_Bouvet	0.001	0.999
2154_Bouvet	0.001	0.999
2155_Bouvet	0.002	0.998
2156_Bouvet	0.001	0.999
2157_Bouvet	0.001	0.999
2158_Bouvet	0.001	0.999
2159_Bouvet	0.001	0.999
2160_Bouvet	0.004	0.996
2161_Bouvet	0.001	0.999
2162_Bouvet	0.001	0.999
2163_Bouvet	0.001	0.999
2164_Bouvet	0.001	0.999
2165_Bouvet	0.001	0.999
2166_Bouvet	0.001	0.999
2167_Bouvet	0.001	0.999
2168_Bouvet	0.001	0.999
2169_Bouvet	0.0019	0.9981
2170_Bouvet	0.001	0.999
2171_Bouvet	0.0107	0.9893
2172_Bouvet	0.007	0.993
2173_Bouvet	0.001	0.999
2174_Bouvet	0.001	0.999
2175_Bouvet	0.001	0.999
2176_Bouvet	0.0026	0.9974
2177_Bouvet	0.005	0.995
2178_Bouvet	0.001	0.999
2179_Bouvet	0.001	0.999
2180_Bouvet	0.001	0.999
2181_Bouvet	0.001	0.999
2182_Bouvet	0.001	0.999
2183_Bouvet	0.001	0.999
2184_Bouvet	0.002	0.998
2185_Bouvet	0.001	0.999
2186_Bouvet	0.002	0.998
2187_Bouvet	0.001	0.999
2188_Bouvet	0.001	0.999
2189_Bouvet	0.001	0.999
2190_Bouvet	0.001	0.999
2191_Bouvet	0.001	0.999
2192_Bouvet	0.001	0.999
2193_Bouvet	0.001	0.999
2194_Bouvet	0.002	0.998
2195_Bouvet	0.002	0.998
2197_Bouvet	0.001	0.999
2198_Bouvet	0.001	0.999
2200_Bouvet	0.001	0.999
2201_Bouvet	0.001	0.999
2202_Bouvet	0.003	0.997
2203_Bouvet	0.002	0.998
2204_Bouvet	0.002	0.998
2205_Bouvet	0.001	0.999
2206_Bouvet	0.001	0.999
2207_Bouvet	0.001	0.999
2208_Bouvet	0.001	0.999
2209_Bouvet	0.001	0.999
2210_Bouvet	0.001	0.999
2211_Bouvet	0.001	0.999
2212_Bouvet	0.001	0.999
2213_Bouvet	0.0011	0.9989
2214_Bouvet	0.001	0.999
2215_Bouvet	0.001	0.999
2216_Bouvet	0.001	0.999
2217_Bouvet	0.001	0.999
2218_Bouvet	0.001	0.999
2219_Bouvet	0.001	0.999
2220_Bouvet	0.001	0.999
2221_Bouvet	0.001	0.999
2222_Bouvet	0.001	0.999
2223_Bouvet	0.001	0.999
2224_Bouvet	0.001	0.999
2225_Bouvet	0.001	0.999
2226_Bouvet	0.001	0.999
2227_Bouvet	0.001	0.999
2228_Bouvet	0.001	0.999
2229_Bouvet	0.001	0.999
2230_Bouvet	0.001	0.999
2231_Bouvet	0.001	0.999
2232_Bouvet	0.001	0.999
2233_Bouvet	0.001	0.999
2234_Bouvet	0.001	0.999
2235_Bouvet	0.002	0.998
2236_Bouvet	0.001	0.999
2237_Bouvet	0.001	0.999
2238_Bouvet	0.001	0.999
2239_Bouvet	0.001	0.999
2240_Bouvet	0.001	0.999
2241_Bouvet	0.001	0.999
2242_Bouvet	0.002	0.998
2243_Bouvet	0.002	0.998
2244_Bouvet	0.001	0.999
2245_Bouvet	0.001	0.999
2246_Bouvet	0.002	0.998
2247_Bouvet	0.001	0.999
2248_Bouvet	0.002	0.998
2249_Bouvet	0.001	0.999
2250_Bouvet	0.001	0.999
2251_Bouvet	0.002	0.998
2252_Bouvet	0.008	0.992
2253_Bouvet	0.001	0.999
2254_Bouvet	0.002	0.998
2255_Bouvet	0.001	0.999
2256_Bouvet	0.002	0.998
2257_Bouvet	0.001	0.999
2258_Bouvet	0.001	0.999
2259_Bouvet	0.001	0.999
2260_Bouvet	0.002	0.998
2261_Bouvet	0.001	0.999
2262_Bouvet	0.001	0.999
2263_Bouvet	0.001	0.999
2264_Bouvet	0.001	0.999
2265_Bouvet	0.001	0.999
2266_Bouvet	0.001	0.999
2267_Bouvet	0.001	0.999
2268_Bouvet	0.002	0.998
2269_Bouvet	0.0023	0.9977
2270_Bouvet	0.002	0.998
2271_Bouvet	0.0013	0.9987
2272_Bouvet	0.002	0.998
2273_Bouvet	0.001	0.999
2274_Bouvet	0.003	0.997
2275_Bouvet	0.001	0.999
2276_Bouvet	0.002	0.998
2277_Bouvet	0.001	0.999
2278_Bouvet	0.0018	0.9982
2279_Bouvet	0.001	0.999
2280_Bouvet	0.001	0.999
2281_Bouvet	0.002	0.998
2282_Bouvet	0.001	0.999
A1002_Bouve	0.001	0.999
A1003_Bouve	0.001	0.999
A1004_Bouve	0.001	0.999
A1005_Bouve	0.001	0.999
A1006_Bouve	0.003	0.997
A1007_Bouve	0.001	0.999
A1008_Bouve	0.001	0.999
A1009_Bouve	0.001	0.999
A1010_Bouve	0.002	0.998
A1011_Bouve	0.002	0.998
A1012_Bouve	0.001	0.999
A1013_Bouve	0.001	0.999
A1014_Bouve	0.001	0.999
A1015_Bouve	0.001	0.999
A1016_Bouve	0.002	0.998
A1017_Bouve	0.001	0.999
A1018_Bouve	0.002	0.998
A1019_Bouve	0.001	0.999
A1020_Bouve	0.001	0.999
A1021_Bouve	0.002	0.998
A1022_Bouve	0.002	0.998
A1023_Bouve	0.004	0.996
A1024_Bouve	0.002	0.998
A1025_Bouve	0.002	0.998
A1026_Bouve	0.001	0.999
A1027_Bouve	0.001	0.999
A1028_Bouve	0.002	0.998
A1029_Bouve	0.001	0.999
A1030_Bouve	0.001	0.999
A1031_Bouve	0.001	0.999
A1032_Bouve	0.001	0.999
A1033_Bouve	0.001	0.999
A1034_Bouve	0.002	0.998
A1035_Bouve	0.001	0.999
A1036_Bouve	0.0027	0.9973
A1037_Bouve	0.001	0.999
A1038_Bouve	0.004	0.996
A1039_Bouve	0.001	0.999
A1040_Bouve	0.001	0.999
A1041_Bouve	0.002	0.998
A1042_Bouve	0.001	0.999
A1043_Bouve	0.001	0.999
A1044_Bouve	0.001	0.999
A1045_Bouve	0.001	0.999
A1046_Bouve	0.001	0.999
A1047_Bouve	0.001	0.999
A1048_Bouve	0.001	0.999
A1049_Bouve	0.002	0.998
A1050_Bouve	0.002	0.998
A1051_Bouve	0.002	0.998
A1052_Bouve	0.001	0.999
A1053_Bouve	0.001	0.999
A1054_Bouve	0.004	0.996
A1055_Bouve	0.001	0.999
A1056_Bouve	0.003	0.997
A1057_Bouve	0.0016	0.9984
A1058_Bouve	0.001	0.999
A1059_Bouve	0.001	0.999
A1060_Bouve	0.001	0.999
A1061_Bouve	0.001	0.999
A1062_Bouve	0.002	0.998
A1063_Bouve	0.002	0.998
A1064_Bouve	0.001	0.999
A1065_Bouve	0.001	0.999
A1066_Bouve	0.002	0.998
A1067_Bouve	0.0088	0.9912
A1068_Bouve	0.001	0.999
A1069_Bouve	0.001	0.999
A1070_Bouve	0.001	0.999
A1071_Bouve	0.007	0.993
A1072_Bouve	0.001	0.999
A1073_Bouve	0.001	0.999
A1074_Bouve	0.001	0.999
A1075_Bouve	0.003	0.997
A1076_Bouve	0.001	0.999
A1077_Bouve	0.001	0.999
A1078_Bouve	0.001	0.999
A1079_Bouve	0.002	0.998
A1080_Bouve	0.001	0.999
A1081_Bouve	0.001	0.999
A1082_Bouve	0.0189	0.9811
A1083_Bouve	0.001	0.999
A1084_Bouve	0.005	0.995
A1085_Bouve	0.001	0.999
A1086_Bouve	0.01	0.99
A1087_Bouve	0.004	0.996
A1089_Bouve	0.009	0.991
A1090_Bouve	0.001	0.999
A1091_Bouve	0.002	0.998
A1092_Bouve	0.001	0.999
A1093_Bouve	0.001	0.999
A1094_Bouve	0.001	0.999
A1095_Bouve	0.001	0.999
A1096_Bouve	0.001	0.999
A1097_Bouve	0.017	0.983
A1098_Bouve	0.002	0.998
A1099_Bouve	0.005	0.995
A1100_Bouve	0.001	0.999
BI1_Bouveto	0.0051	0.9949
BI10_Bouvet	0.002	0.998
BI12_Bouvet	0.001	0.999
BI14_Bouvet	0.003	0.997
BI16_Bouvet	0.001	0.999
BI17_Bouvet	0.001	0.999
BI18_Bouvet	0.001	0.999
BI19_Bouvet	0.001	0.999
BI2_Bouveto	0.003	0.997
BI21_Bouvet	0.001	0.999
BI22_Bouvet	0.001	0.999
BI23_Bouvet	0.001	0.999
BI24_Bouvet	0.001	0.999
BI25_Bouvet	0.002	0.998
BI3_Bouveto	0.002	0.998
BI5_Bouveto	0.001	0.999
BI6_Bouveto	0.002	0.998
BI7_Bouveto	0.001	0.999
BI8_Bouveto	0.001	0.999
MA12_Marion	0.002	0.998
MA17_Marion	0.003	0.997
MA18_Marion	0.002	0.998
MA2_Marion_	0.001	0.999
MA22_Marion	0.001	0.999
MA23_Marion	0.001	0.999
MA24_Marion	0.001	0.999
MA25_Marion	0.001	0.999
MA26_Marion	0.001	0.999
MA27_Marion	0.0047	0.9953
MA28_Marion	0.001	0.999
MA29_Marion	0.002	0.998
MA30_Marion	0.002	0.998
MA31_Marion	0.998	0.002
MA33_Marion	0.998	0.002
MA34_Marion	0.999	0.001
MA35_Marion	0.999	0.001
MA36_Marion	0.999	0.001
MA41_Marion	0.999	0.001
MA42_Marion	0.998	0.002
MA43_Marion	0.998	0.002
MA44_Marion	0.994	0.006
MA45_Marion	0.998	0.002
MA46_Marion	0.999	0.001
MA47_Marion	0.999	0.001
MA48_Marion	0.9981	0.0019
MA49_Marion	0.9916	0.0084
MA51_Marion	0.996	0.004
MA52_Marion	0.996	0.004
MA53_Marion	0.998	0.002
MA54_Marion	0.998	0.002
MA56_Marion	0.9913	0.0087
MA59_Marion	0.9383	0.0617
MA6_Marion_	0.003	0.997
MA61_Marion	0.999	0.001
MA64_Marion	0.998	0.002
MA65_Marion	0.996	0.004
MA75_Marion	0.997	0.003
MA76_Marion	0.999	0.001
MA8_Marion_	0.001	0.999
MA81_Marion	0.008	0.992
MA83_Marion	0.2212	0.7788
MA85_Marion	0.001	0.999
MA86_Marion	0.001	0.999
MA9_Marion_	0.001	0.999
MIAGF13001_	0.002	0.998
MIAGF13002_	0.001	0.999
MIAGF13003_	0.001	0.999
MIAGF13004_	0.001	0.999
MIAGF13005_	0.002	0.998
MIAGF13006_	0.004	0.996
MIAGF13007_	0.002	0.998
MIAGF13008_	0.001	0.999
MIAGF13009_	0.001	0.999
MIAGF13010_	0.002	0.998
MIAGF13011_	0.001	0.999
MIAGF13012_	0.001	0.999
MIAGF13013_	0.003	0.997
MIAGF13014_	0.001	0.999
MIAGF13015_	0.0015	0.9985
MIAGF13016_	0.004	0.996
MIAGF13017_	0.001	0.999
MIAGF13018_	0.001	0.999
MIAGF13019_	0.001	0.999
MIAGF13020_	0.009	0.991
MIAGF13021_	0.002	0.998
MIAGF13022_	0.004	0.996
MIAGF13023_	0.0013	0.9987
MIAGF13024_	0.003	0.997
MIAGF13025_	0.001	0.999
MIAGF13026_	0.001	0.999
MIAGF13027_	0.001	0.999
MIAGF13028_	0.002	0.998
MIAGF13029_	0.001	0.999
MIAGF13030_	0.002	0.998
MIAGF13031_	0.006	0.994
MIAGF13032_	0.001	0.999
MIAGF13033_	0.002	0.998
MIAGF13034_	0.002	0.998
MIAGF13035_	0.002	0.998
MIAGF13071_	0.001	0.999
MIAGF13072_	0.001	0.999
MIAGF13073_	0.002	0.998
MIAGF13074_	0.001	0.999
MIAGF13075_	0.003	0.997
MIAGF13076_	0.001	0.999
MIAGF13077_	0.001	0.999
MIAGF13078_	0.001	0.999
MIAGF13079_	0.005	0.995
MIAGF13080_	0.001	0.999
MIAGF13081_	0.001	0.999
MIAGF13082_	0.001	0.999
MIAGF13083_	0.002	0.998
MIAGF13084_	0.001	0.999
MIAGF13085_	0.0033	0.9967
MIAGF13086_	0.002	0.998
MIAGF13087_	0.001	0.999
MIAGF13088_	0.001	0.999
MIAGF13089_	0.001	0.999
MIAGF13090_	0.001	0.999
MIAGF13091_	0.002	0.998
MIAGF13092_	0.001	0.999
MIAGF13093_	0.001	0.999
MIAGF13094_	0.002	0.998
MIAGF13095_	0.003	0.997
MIAGF13096_	0.0066	0.9934
MIAGF13097_	0.0028	0.9972
MIAGF13098_	0.001	0.999
MIAGF13099_	0.002	0.998
MIAGF13100_	0.0038	0.9962
MIAGF13101_	0.004	0.996
MIAGF13102_	0.001	0.999
MIAGF13103_	0.001	0.999
MIAGF13104_	0.001	0.999
MIAGF13145_	0.001	0.999
MIAGF13146_	0.001	0.999
MIAGF13147_	0.003	0.997
MIAGF13148_	0.009	0.991
MIAGM13036_	0.002	0.998
MIAGM13037_	0.001	0.999
MIAGM13038_	0.053	0.947
MIAGM13039_	0.002	0.998
MIAGM13040_	0.002	0.998
MIAGM13041_	0.0015	0.9985
MIAGM13042_	0.001	0.999
MIAGM13043_	0.002	0.998
MIAGM13044_	0.006	0.994
MIAGM13045_	0.0026	0.9974
MIAGM13046_	0.001	0.999
MIAGM13047_	0.002	0.998
MIAGM13048_	0.001	0.999
MIAGM13049_	0.001	0.999
MIAGM13050_	0.001	0.999
MIAGM13051_	0.003	0.997
MIAGM13052_	0.0016	0.9984
MIAGM13053_	0.003	0.997
MIAGM13054_	0.001	0.999
MIAGM13055_	0.001	0.999
MIAGM13056_	0.001	0.999
MIAGM13057_	0.002	0.998
MIAGM13058_	0.002	0.998
MIAGM13059_	0.002	0.998
MIAGM13060_	0.0109	0.9891
MIAGM13061_	0.001	0.999
MIAGM13062_	0.008	0.992
MIAGM13063_	0.002	0.998
MIAGM13064_	0.001	0.999
MIAGM13065_	0.001	0.999
MIAGM13066_	0.002	0.998
MIAGM13067_	0.005	0.995
MIAGM13068_	0.002	0.998
MIAGM13069_	0.001	0.999
MIAGM13070_	0.001	0.999
MIAGM13105_	0.002	0.998
MIAGM13106_	0.001	0.999
MIAGM13107_	0.0266	0.9734
MIAGM13108_	0.007	0.993
MIAGM13109_	0.001	0.999
MIAGM13110_	0.001	0.999
MIAGM13111_	0.001	0.999
MIAGM13112_	0.002	0.998
MIAGM13113_	0.001	0.999
MIAGM13114_	0.002	0.998
MIAGM13115_	0.004	0.996
MIAGM13116_	0.001	0.999
MIAGM13117_	0.001	0.999
MIAGM13118_	0.002	0.998
MIAGM13119_	0.002	0.998
MIAGM13120_	0.002	0.998
MIAGM13121_	0.001	0.999
MIAGM13122_	0.001	0.999
MIAGM13123_	0.002	0.998
MIAGM13124_	0.002	0.998
MIAGM13125_	0.002	0.998
MIAGM13126_	0.001	0.999
MIAGM13127_	0.002	0.998
MIAGM13128_	0.002	0.998
MIAGM13130_	0.001	0.999
MIAGM13131_	0.004	0.996
MIAGM13132_	0.003	0.997
MIAGM13133_	0.002	0.998
MIAGM13134_	0.001	0.999
MIAGM13135_	0.003	0.997
MIAGM13136_	0.003	0.997
MIAGM13137_	0.002	0.998
MIAGM13138_	0.001	0.999
MIAGM13139_	0.005	0.995
MIAGM13140_	0.005	0.995
MIAGM13141_	0.006	0.994
MIAGM13142_	0.0319	0.9681
MIAGM13143_	0.002	0.998
MIAGM13144_	0.001	0.999
CI1_Crozet	0.0085	0.9915
CI20_Crozet	0.001	0.999
CI21_Crozet	0.002	0.998
CI22_Crozet	0.002	0.998
CI23_Crozet	0.001	0.999
CI24_Crozet	0.001	0.999
